system:index,total_precipitation_hourly
20110109T08,9.048784355954496E-4
20110109T09,9.965464285728429E-4
20110109T10,9.119973227755786E-4
20110109T11,5.904255342150555E-4
20110109T12,3.514676909887712E-4
20110109T13,2.1816765154705658E-4
20110109T14,1.7088323521821408E-4
20110109T15,1.4007618770396993E-4
20110109T16,1.340825818617006E-4
20110109T17,1.34993756323028E-4
20110109T18,1.120627746420691E-4
20110109T19,8.112730796703288E-5
20110109T20,4.057786626510263E-5
20110109T21,2.560500326059227E-5
20110109T22,1.1643881633069448E-5
20110109T23,5.465138030728337E-6
20110110T00,2.61229183194954E-6
20110110T01,1.49237031394553E-6
20110110T02,7.995601141611733E-7
20110110T03,5.266820405955166E-7
20110110T04,5.039071986289383E-7
20110110T05,5.527689930201231E-7
20110110T06,5.683306083891957E-7
20110110T07,2.010507318944494E-6
20110110T08,1.7161339778792768E-6
20110110T09,1.1774911146857953E-6
20110110T10,1.1079340617321969E-6
20110110T11,6.612589793141656E-7
20110110T12,6.904339375484588E-7
20110110T13,6.909428107445685E-7
20110110T14,2.860101852461196E-7
20110110T15,2.0710464731812143E-7
20110110T16,3.2154300800825927E-7
20110110T17,5.374206860177178E-7
20110110T18,3.089195780410984E-7
20110110T19,2.398613034838037E-6
20110110T20,1.723033614430133E-6
20110110T21,1.3684279621871228E-6
20110110T22,1.936447799382343E-6
20110110T23,2.0460702071851417E-6
20110111T00,1.7957883156811118E-6
20110111T01,2.969179696354167E-6
20110111T02,6.01673633131299E-6
20110111T03,9.863019116818404E-6
20110111T04,4.586822307102533E-6
20110111T05,2.362165310524559E-6
20110111T06,1.0731805114989211E-6
20110111T07,3.4146068889406007E-6
20110111T08,4.309859869122394E-6
20110111T09,1.359502962267151E-4
20110111T10,4.325002813930465E-4
20110111T11,8.687646999756028E-4
20110111T12,0.0010868932417411863
20110111T13,8.784894184325387E-4
20110111T14,5.157625816666937E-4
20110111T15,2.697915536968127E-4
20110111T16,1.474379816955863E-4
20110111T17,1.5754615077399144E-4
20110111T18,1.0789291836562502E-4
20110111T19,1.3882794608828695E-4
20110111T20,1.0745757860925588E-4
20110111T21,1.1564525733723709E-4
20110111T22,9.599297296035126E-5
20110111T23,5.8410418912928026E-5
20110112T00,4.690543748523408E-5
20110112T01,3.882504628774067E-5
20110112T02,5.354015143143567E-5
20110112T03,4.8907626193310256E-5
20110112T04,3.6531661903102E-5
20110112T05,3.06858683952795E-5
20110112T06,2.3378752571319487E-5
20110112T07,1.992913369631E-5
20110112T08,2.7276216310399762E-5
20110112T09,1.0434615176479637E-4
20110112T10,1.8420839080893707E-4
20110112T11,3.1409485144079033E-4
20110112T12,5.29107395367043E-4
20110112T13,5.659632471582823E-4
20110112T14,4.010477344610465E-4
20110112T15,3.980147031014967E-4
20110112T16,3.8137926125502596E-4
20110112T17,3.393406455766057E-4
20110112T18,3.2942140747651774E-4
20110112T19,7.95856960141169E-4
20110112T20,6.089869998612459E-4
20110112T21,8.165890316017638E-4
20110112T22,9.120001753312525E-4
20110112T23,5.909885721754782E-4
20110113T00,4.2939763886863186E-4
20110113T01,3.7383004230827176E-4
20110113T02,3.3349396566352297E-4
20110113T03,3.127226891063819E-4
20110113T04,3.130511484503995E-4
20110113T05,3.21641490844897E-4
20110113T06,3.6223049442381635E-4
20110113T07,7.74244280754205E-4
