system:index,total_evaporation_hourly
20110111T21,4.412182395983951E-6
20110111T22,4.2578240997151073E-7
20110111T23,-2.3930425206659766E-6
20110112T00,-4.230927502262795E-6
20110112T01,-5.8948128578968565E-6
20110112T02,-8.039488648386046E-6
20110112T03,-9.036270945258108E-6
20110112T04,-7.248242615171289E-6
20110112T05,-7.4210152652198546E-6
20110112T06,-7.4059714317941875E-6
20110112T07,-5.618942656487073E-6
20110112T08,-3.457562807500221E-6
20110112T09,-1.3645788419388163E-5
20110112T10,-2.5406386694286672E-5
20110112T11,-3.254940905718304E-5
20110112T12,-3.958091138628911E-5
20110112T13,-4.215207040136174E-5
20110112T14,-3.997242931732383E-5
20110112T15,-3.298482163072887E-5
20110112T16,-2.2038012154824545E-5
20110112T17,-1.1215118205733405E-5
20110112T18,-3.6801684451856397E-6
20110112T19,9.948925044573801E-7
20110112T20,3.215771735929135E-6
20110112T21,5.562796877343423E-6
20110112T22,7.262705607485818E-6
20110112T23,8.60098606735242E-6
20110113T00,6.60532334899784E-6
20110113T01,4.756064638394975E-6
20110113T02,1.9583298017373087E-6
20110113T03,1.2322303166207713E-6
20110113T04,2.944947245913759E-7
20110113T05,-3.998760653576703E-7
20110113T06,-3.4230566853896824E-7
20110113T07,5.405759538723328E-6
20110113T08,5.944416106687249E-7
20110113T09,-5.047139915021594E-6
20110113T10,-1.3414152387383683E-5
20110113T11,-1.77530008015603E-5
20110113T12,-1.9950866963233097E-5
20110113T13,-1.5189715308259732E-5
20110113T14,-1.4113509600373737E-5
20110113T15,-8.974162450606307E-6
20110113T16,-3.292510201915473E-6
20110113T17,-2.0030537364558306E-6
20110113T18,-1.170962154032779E-6
20110113T19,5.221574776866017E-6
20110113T20,1.7906083864829818E-6
20110113T21,-3.725727935326349E-7
20110113T22,-3.271402811804325E-6
20110113T23,-5.291394635056536E-6
20110114T00,-6.037249656907439E-6
20110114T01,-6.514011582590271E-6
20110114T02,-6.600211374402653E-6
20110114T03,-6.457228789744827E-6
20110114T04,-7.0154217377881135E-6
20110114T05,-9.074157085298015E-6
20110114T06,-1.0872109858400567E-5
20110114T07,-1.6421056212156228E-5
20110114T08,-1.5572358312023975E-5
20110114T09,-3.2359277602277774E-5
20110114T10,-5.4718497492232855E-5
20110114T11,-6.064556997637863E-5
20110114T12,-6.871928437401E-5
20110114T13,-6.179238965749161E-5
20110114T14,-4.402035929215243E-5
20110114T15,-2.893895695838684E-5
20110114T16,-1.8198042275219425E-5
20110114T17,-1.2402073429510679E-5
20110114T18,-1.2217549315763266E-5
20110114T19,-1.0080521970800213E-5
20110114T20,-1.081120217496065E-5
20110114T21,-1.644074068713863E-5
20110114T22,-2.8623619225732512E-5
20110114T23,-4.150756174781797E-5
20110115T00,-4.370061491367989E-5
20110115T01,-3.149822388661188E-5
20110115T02,-2.2467168724117204E-5
20110115T03,-2.2408379528737024E-5
20110115T04,-1.942209587168725E-5
20110115T05,-1.605543089890829E-5
20110115T06,-1.3300942226059104E-5
20110115T07,-1.1601186020912183E-5
20110115T08,-1.1948297351515255E-5
20110115T09,-2.955995397188543E-5
20110115T10,-5.250056608232982E-5
20110115T11,-6.956652861316643E-5
20110115T12,-8.138893005799725E-5
20110115T13,-6.55393878133422E-5
20110115T14,-4.304931976611187E-5
20110115T15,-3.1874351573272285E-5
20110115T16,-1.2494100868548991E-5
20110115T17,-5.2005970495087945E-6
20110115T18,-4.232526662908956E-6
