system:index,ET
2012_03_29,89.7900581555981
2012_04_06,98.22091788198728
2012_04_14,101.49158010464599
2012_04_22,136.64062171095304
2012_04_30,178.5969265615304
2012_05_08,218.51041134098844
2012_05_16,237.53469441563536
2012_05_24,297.6850855193899
2012_06_01,243.7344317016665
2012_06_09,220.384926695847
2012_06_17,255.35601887639237
2012_06_25,289.9654413828317
2012_07_03,288.7136739582309
2012_07_11,251.32230592581467
2012_07_19,249.63296460942556
2012_07_27,255.59367276366115
2012_08_04,244.5687230363492
2012_08_12,235.77306673810676
2012_08_20,204.4057089855217
2012_08_28,175.81220629899215
2012_09_05,156.7637122710975
2012_09_13,136.81558195552526
2012_09_21,101.22339610122263
2012_09_29,102.28601011283168
2012_10_07,70.26646556112532
2012_10_15,71.79372401913032
2012_10_23,47.60875588483069
2012_10_31,37.687994900901174
2012_11_08,29.936864980491176
2012_11_16,23.77172572492088
2012_11_24,29.69869086616462
2012_12_02,17.46306591233672
2012_12_10,19.525408874193335
2012_12_18,20.24709409160847
2012_12_26,21.728604998605125
2013_01_01,18.59445895020991
2013_01_09,27.284463699769667
2013_01_17,29.580562452918624
2013_01_25,26.523652762187943
2013_02_02,28.625171012884582
2013_02_10,42.26635912261067
2013_02_18,41.615313143890525
2013_02_26,65.79265522991759
2013_03_06,67.71626399314205
2013_03_14,61.712496577272674
2013_03_22,75.92696751482582
2013_03_30,83.32742938903435
2013_04_07,119.25720895815805
2013_04_15,139.60631462840433
2013_04_23,140.71503642830183
2013_05_01,193.4849095140713
2013_05_09,180.12347478021542
2013_05_17,165.6627822753536
2013_05_25,185.87131727331393
2013_06_02,295.7318694265729
2013_06_10,294.9003039711132
2013_06_18,292.27203552395406
2013_06_26,256.6847881798138
2013_07_04,311.38192504041217
2013_07_12,282.72976250654494
2013_07_20,268.0274769177582
2013_07_28,242.90727745884692
2013_08_05,219.03877558059236
2013_08_13,217.37981371335974
2013_08_21,179.22168783205254
2013_08_29,194.77333153077169
2013_09_06,150.35228594327108
2013_09_14,130.13932459794233
2013_09_22,150.20569345652817
2013_09_30,104.12911028052606
2013_10_08,75.01609778384032
2013_10_16,73.88278223181547
2013_10_24,66.76355884157509
2013_11_01,41.10770633568132
2013_11_09,36.38110792926906
2013_11_17,25.905276492265006
2013_11_25,26.81136057176749
2013_12_03,23.232096908894988
2013_12_11,26.639632452264756
2013_12_19,26.10071971856351
2013_12_27,17.847280523237217
2014_01_01,27.534639227266297
2014_01_09,24.70385380330994
2014_01_17,28.011675871595095
2014_01_25,32.19290285027149
2014_02_02,35.00168603144284
2014_02_10,36.689802721500925
2014_02_18,51.13848732096545
2014_02_26,56.73026986006291
2014_03_06,73.5507555930739
2014_03_14,81.78951033435565
2014_03_22,79.59287919460635
2014_03_30,127.2154273165852
2014_04_07,137.51915367525388
2014_04_15,134.16183801120218
2014_04_23,168.63851997435506
2014_05_01,189.68549565217327
2014_05_09,181.06882168714867
2014_05_17,269.3777566710885
2014_05_25,230.18802232353727
