system:index,total_evaporation_hourly
19800112T01,-6.734648764997771e-06
19800112T02,-4.7229564927889685e-06
19800112T03,-3.547295005837428e-06
19800112T04,-2.841280210575526e-06
19800112T05,-2.461041776877006e-06
19800112T06,-2.7580087775230467e-06
19800112T07,-3.853082460091784e-06
19800112T08,-4.908844703285859e-06
19800112T09,-7.866911871213557e-06
19800112T10,-1.540410785224857e-05
19800112T11,-2.3703048978863564e-05
19800112T12,-2.8006377705826643e-05
19800112T13,-2.8326889629292284e-05
19800112T14,-2.6099456455990195e-05
19800112T15,-1.899048211587541e-05
19800112T16,-1.1235344714120114e-05
19800112T17,-6.83395097224723e-06
19800112T18,-6.155693083800649e-06
19800112T19,-5.266046521460519e-06
19800112T20,-4.996840106077199e-06
19800112T21,-4.204576358465355e-06
19800112T22,-4.502056064220401e-06
19800112T23,-3.7892482665835994e-06
19800113T00,-3.893504977968409e-06
19800113T01,-3.232045006595005e-06
19800113T02,-3.220210330656176e-06
19800113T03,-2.651706967962188e-06
19800113T04,-2.978491178161834e-06
19800113T05,-2.513153179773488e-06
19800113T06,-2.9889688773677747e-06
19800113T07,-2.152146092619835e-06
19800113T08,-1.722104428378092e-06
19800113T09,-3.1338671030684178e-06
19800113T10,-6.983534953680963e-06
19800113T11,-1.5152837795351294e-05
19800113T12,-2.289954885956344e-05
19800113T13,-2.360288645948555e-05
19800113T14,-2.004758492591316e-05
19800113T15,-1.1861423044324932e-05
19800113T16,-3.364185127818809e-06
19800113T17,-3.493728025236186e-07
19800113T18,4.285801165230769e-07
19800113T19,9.71274082092014e-07
19800113T20,1.1152209113158873e-06
19800113T21,1.3844010787917663e-06
19800113T22,1.1196943484550971e-06
19800113T23,9.877239113726088e-07
19800114T00,7.806750160508836e-07
19800114T01,8.069133761018661e-07
19800114T02,9.525225881217792e-07
19800114T03,9.536499788933254e-07
19800114T04,8.687653477255628e-07
19800114T05,8.597858237923005e-07
19800114T06,8.130835765290265e-07
19800114T07,9.682432184587689e-07
19800114T08,7.971047498044939e-07
19800114T09,9.364636163005937e-08
19800114T10,-3.067732649759868e-07
19800114T11,-1.9767923951218575e-06
19800114T12,-1.073553927557558e-05
19800114T13,-1.7737348396077683e-05
19800114T14,-1.4809123476615829e-05
19800114T15,-8.8547098139049e-06
19800114T16,-2.2545918374376487e-06
19800114T17,6.535796073615094e-07
19800114T18,2.1015080801743797e-06
19800114T19,2.1781341459916533e-06
19800114T20,2.401016796884691e-06
19800114T21,2.204511191478254e-06
19800114T22,1.9652308852198965e-06
19800114T23,1.517611835317027e-06
19800115T00,1.4235401370259751e-06
19800115T01,1.2402852696284364e-06
19800115T02,9.867875698108243e-07
19800115T03,9.388933621943673e-07
19800115T04,1.0020241607950436e-06
19800115T05,8.445086529050184e-07
19800115T06,1.0769659893534715e-06
19800115T07,1.341253286094736e-06
19800115T08,5.402741369096244e-07
19800115T09,-1.235498019776664e-06
19800115T10,-1.4370908986078162e-06
19800115T11,-6.844929925445235e-06
19800115T12,-1.7632890352417586e-05
19800115T13,-2.090924994586732e-05
19800115T14,-1.8715267755269772e-05
19800115T15,-1.300935721522492e-05
19800115T16,-6.171986092764669e-06
19800115T17,-2.1092620963549127e-06
19800115T18,-1.0522324181735377e-06
19800115T19,-5.48076913350755e-07
19800115T20,-4.08915429486949e-07
19800115T21,-4.139952432693754e-07
19800115T22,-2.5682019903801397e-07
19800115T23,-3.417152029238442e-07
19800116T00,-4.96784465536483e-07
19800116T01,-8.393066920303243e-07
19800116T02,-1.3373092669986851e-06
19800116T03,-1.7217921559859275e-06
19800116T04,-1.509805335299747e-06
19800116T05,-1.2495409031289022e-06
19800116T06,-5.193859994071903e-07
19800116T07,9.641800041330413e-07
19800116T08,-3.1310566542567155e-08
19800116T09,-5.37181703377553e-06
19800116T10,-1.1224053932987751e-05
19800116T11,-2.0089282498380212e-05
19800116T12,-2.375376695656097e-05
19800116T13,-2.5786477718316084e-05
19800116T14,-2.4938689180752703e-05
19800116T15,-1.7851317142976935e-05
19800116T16,-1.0488482594693708e-05
19800116T17,-6.623636083923084e-06
19800116T18,-5.7757395624455255e-06
19800116T19,-7.0899619264237384e-06
19800116T20,-6.685783086268181e-06
19800116T21,-6.186786952472033e-06
19800116T22,-4.660449174974156e-06
19800116T23,-3.433431799812325e-06
19800117T00,-3.54258727252386e-06
19800117T01,-3.041216464538721e-06
19800117T02,-1.8289533828125645e-06
19800117T03,-1.228753503258709e-06
19800117T04,-2.3498735005978397e-07
19800117T05,-3.695764121005902e-07
19800117T06,4.5601939923084683e-07
19800117T07,-9.974531180607883e-07
19800117T08,-2.7700859611661215e-06
19800117T09,-6.131702857208929e-06
19800117T10,-1.1898714828833772e-05
19800117T11,-1.8372321242690468e-05
19800117T12,-2.2411411806708467e-05
19800117T13,-2.378297332236582e-05
19800117T14,-2.0900505438708387e-05
19800117T15,-1.399273489239723e-05
19800117T16,-4.744070044283117e-06
19800117T17,-9.018597638572992e-07
19800117T18,-1.5575139624698897e-07
19800117T19,1.1258513787338764e-06
19800117T20,1.865826984307032e-06
19800117T21,1.912860208477396e-06
19800117T22,1.9721435247902793e-06
19800117T23,2.000754842591264e-06
19800118T00,2.0146683411418236e-06
19800118T01,2.0746655342042132e-06
19800118T02,2.1080176946720787e-06
19800118T03,2.135305168979585e-06
19800118T04,2.116639610268225e-06
19800118T05,2.117015018487702e-06
19800118T06,2.1088227357469315e-06
19800118T07,2.652144716696445e-06
19800118T08,2.3283421587750458e-06
19800118T09,4.0739555562072907e-07
19800118T10,-2.2969400798159996e-06
19800118T11,-7.595469053504999e-06
19800118T12,-1.6643748182388365e-05
19800118T13,-1.852821865928985e-05
19800118T14,-1.4983400429365922e-05
19800118T15,-9.094244285642565e-06
19800118T16,-2.634057185517249e-06
19800118T17,9.661386879248988e-07
